id;phone_number;date_of_birth;gender;avatar_url;loyalty_points;membership_level;preferences;newsletter_subscribed
1;and;2025-09-17;OTHER;aha ack;11595;GOLD;../fake-data/blob/hipster.txt;true
2;snoopy alongside ick;2025-09-17;PREFER_NOT_TO_SAY;phew to whoa;7035;GOLD;../fake-data/blob/hipster.txt;true
3;roundabout;2025-09-17;MALE;astride crest;23567;PLATINUM;../fake-data/blob/hipster.txt;true
4;after in misreport;2025-09-17;PREFER_NOT_TO_SAY;boohoo;21596;SILVER;../fake-data/blob/hipster.txt;false
5;stable up verve;2025-09-17;MALE;yahoo while;17196;SILVER;../fake-data/blob/hipster.txt;false
6;often blah;2025-09-17;MALE;whoever;20883;PLATINUM;../fake-data/blob/hipster.txt;true
7;stake;2025-09-17;OTHER;huzzah rigidly;9247;SILVER;../fake-data/blob/hipster.txt;true
8;barring mmm;2025-09-17;MALE;brightly;20897;SILVER;../fake-data/blob/hipster.txt;true
9;hourly woot;2025-09-17;OTHER;especially divine aha;3561;PLATINUM;../fake-data/blob/hipster.txt;true
10;rot as anesthetize;2025-09-17;FEMALE;upon but via;29071;GOLD;../fake-data/blob/hipster.txt;false
